Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,Head_Yaw_dof,Head_Pitch_dof,Left_Shoulder_Pitch_dof,Left_Shoulder_Roll_dof,Left_Elbow_Pitch_dof,Left_Elbow_Yaw_dof,Right_Shoulder_Pitch_dof,Right_Shoulder_Roll_dof,Right_Elbow_Pitch_dof,Right_Elbow_Yaw_dof,Left_Hip_Pitch_dof,Left_Hip_Roll_dof,Left_Hip_Yaw_dof,Left_Knee_Pitch_dof,Left_Ankle_Pitch_dof,Left_Ankle_Roll_dof,Right_Hip_Pitch_dof,Right_Hip_Roll_dof,Right_Hip_Yaw_dof,Right_Knee_Pitch_dof,Right_Ankle_Pitch_dof,Right_Ankle_Roll_dof
29,60.82501983642578,-58.34920883178711,57.67514945858074,-3.6259111148224186,28.49669375074473,-46.25126966040673,0.0,0.0,-35.839184,-54.49189,30.903572,-61.9583,-47.474323,78.453575,43.75103,33.769413,-15.42728,1.8173004,15.04707,21.436434,14.240967,-11.084541,-48.208454,5.8773904,2.1190088,18.956083,10.758754,0.83777326
30,60.8388557434082,-58.351783752441406,57.41940671753967,-4.014158025282788,29.70985360473226,-46.952149019760114,0.0,0.0,-39.340267,-56.2711,33.319134,-62.057632,-48.824074,80.233406,44.74523,33.952236,-16.035799,1.9169954,15.717449,22.371279,15.148833,-11.63375,-50.60737,6.4200754,2.0018296,20.110249,11.302934,0.69174314
31,60.84899139404297,-58.353424072265625,57.129352938332275,-4.314866822482201,30.605112621759854,-47.478394121894695,0.0,0.0,-41.784443,-57.66111,34.949905,-62.155594,-49.760365,81.46168,45.408123,34.143097,-16.485485,1.9871359,16.203245,23.04535,15.823324,-12.037478,-52.36364,6.8240314,1.8952549,20.94096,11.706883,0.5746348
32,60.85548400878906,-58.35482406616211,56.72345640921077,-4.514430099027632,31.10628244530239,-47.81047188215678,0.0,0.0,-43.1591,-58.493927,35.856174,-62.221516,-50.266315,82.192154,45.786064,34.272125,-16.704624,2.0386355,16.500784,23.452337,16.229784,-12.289672,-53.38913,7.085586,1.8193058,21.456709,11.941828,0.49597713
33,60.857383728027344,-58.354801177978516,56.16425990976262,-4.574047173907834,31.33217348037714,-47.91897896349455,0.0,0.0,-43.664032,-58.814804,36.168842,-62.28126,-50.44406,82.38847,45.903534,34.394573,-16.847113,2.0457966,16.597694,23.58942,16.37689,-12.368785,-53.786354,7.160815,1.7953653,21.60731,12.0389595,0.472136
34,63.90037536621094,-61.188804626464844,55.71469318538024,-3.5955074974130916,29.72901697299609,-46.8797801286083,0.0,0.0,-30.943085,-60.51008,30.098791,-62.35978,-53.93289,83.34389,46.63169,34.793133,-29.48867,7.623488,13.235659,52.550213,17.166565,-10.92051,-44.48997,9.1374855,-0.7230677,9.369868,11.273927,0.9479509
35,66.57426452636719,-64.02754974365234,54.743758290093076,-4.405872488672425,27.609967568117302,-47.0079139494767,0.0,0.0,-18.616047,-60.438496,24.196218,-62.388687,-61.657063,85.86255,50.996742,36.01447,-47.99591,15.799816,8.321463,80.86151,14.7622595,-3.1647003,-38.65393,11.511681,-5.0155563,9.317355,5.9173503,-2.3721635
36,69.00505065917969,-67.14741516113281,53.64150563495855,-5.131887252499864,27.414723776040887,-46.20242130135197,0.0,0.0,-4.278221,-59.16686,15.38248,-62.090057,-72.63955,88.81951,55.941154,38.598747,-73.03139,18.005356,-1.6464399,100.9199,16.282259,3.2101324,-31.62824,13.103901,-7.278496,9.696159,-2.9953077,-5.9406457
37,71.72506713867188,-70.63911437988281,52.76484137943165,-5.008624285250443,29.122229550579746,-43.18468336288793,0.0,0.0,8.876984,-57.28112,7.1166897,-61.44002,-84.15536,91.086174,61.564857,42.391705,-94.518456,10.704943,-8.856376,107.149376,19.767042,2.6607704,-24.19756,12.576601,-5.9067354,9.881909,-11.565317,-6.49823
38,74.4193344116211,-74.19345092773438,52.310861047104616,-3.55447632544071,30.346698829410666,-38.69512449114706,0.0,0.0,20.952023,-55.943188,-3.0351675,-60.784138,-96.674644,91.43691,64.80768,45.58639,-102.92177,4.5953493,-8.32846,93.17682,19.767042,0.99252516,-17.737154,10.694542,-3.0944374,9.411225,-14.809393,-2.7931025
39,77.37019348144531,-77.68486785888672,52.3278434338991,-4.587090717527381,30.263420432345075,-36.32395891803359,0.0,0.0,31.001123,-55.81315,-13.392573,-60.292618,-102.63559,90.907104,68.0908,47.7688,-95.65274,1.2147647,-9.820973,63.01529,19.767042,-4.429984,-10.036741,9.769017,-7.5259547,9.038527,-10.858411,1.679296
